,,False,True
age_floor_area,std,812953.1724169835,708281.2299593968
age_floor_area,min,0.0,0.0
age_floor_area,25%,6065.36077248,5564.79919296
age_floor_area,50%,176289.09258240002,178398.82771776
age_floor_area,75%,500712.03599328,504630.36105984
age_floor_area,max,14190563.75300928,9564641.474549761
age_2,count,3263.0,3945.0
age_2,mean,3327.4048421697826,3418.969835234474
age_2,std,3549.2674095873485,3704.078483936984
age_2,min,0.0,0.0
age_2,25%,441.0,529.0
age_2,50%,1849.0,1764.0
age_2,75%,5929.0,6084.0
age_2,max,13689.0,14641.0
energy_star_rating_2,count,1688.0,2083.0
energy_star_rating_2,mean,4200.046800947867,4266.502640422467
energy_star_rating_2,std,3446.4616893607867,3447.971991246242
energy_star_rating_2,min,0.0,0.0
energy_star_rating_2,25%,841.0,784.0
energy_star_rating_2,50%,3844.0,3969.0
energy_star_rating_2,75%,7225.0,7482.5
energy_star_rating_2,max,10000.0,10000.0
log_floor_area,count,3263.0,3945.0
log_floor_area,mean,3.323055416665373,3.285762162055578
log_floor_area,std,0.8746373735734728,0.8831128189536185
log_floor_area,min,1.7269418177330993,1.8018142999916047
log_floor_area,25%,2.293853332230565,2.2740258081059306
log_floor_area,50%,3.6425695875648065,3.6032522125239805
log_floor_area,75%,3.9723512991177685,3.9592560010276205
log_floor_area,max,5.1929582568331885,5.168245199969639
observed,count,3263.0,3945.0
observed,mean,109.47091674804688,267.32806396484375
observed,std,67.43809509277344,76.24430084228516
observed,min,15.1376953125,107.20896911621094
observed,25%,53.66982460021973,197.490234375
observed,50%,88.09272766113281,268.11090087890625
observed,75%,163.32421112060547,335.9619140625
observed,max,309.7629089355469,399.9998779296875
predicted,count,3263.0,3945.0
predicted,mean,184.13059997558594,183.10470581054688
predicted,std,68.40579223632812,70.66826629638672
predicted,min,69.40472412109375,31.10170555114746
predicted,25%,122.88872909545898,119.72315979003906
predicted,50%,167.64451599121094,167.5319366455078
predicted,75%,240.22604370117188,244.21200561523438
predicted,max,367.4433288574219,348.325439453125
residuals,count,3263.0,3945.0
residuals,mean,-74.6596908569336,84.22337341308594
residuals,std,26.16488265991211,34.39997482299805
residuals,min,-252.22164916992188,50.00920104980469
residuals,25%,-83.95083618164062,59.3260498046875
residuals,50%,-66.40716552734375,73.52142333984375
residuals,75%,-56.77214241027832,97.72294616699219
residuals,max,-50.011878967285156,285.2773742675781
